hashtag,total,LINKE,AFD,GRUENE,SPD,FDP,CDUCSU,OTHER
initiative,145,63,1,45,8,17,10,1
berlin,39,22,0,4,4,5,4,0
ich,33,15,0,7,2,4,4,1
danken,18,9,0,5,2,1,1,0
agh,13,13,0,0,0,0,0,0
jahr,13,3,0,9,0,1,0,0
berliner,9,4,0,4,0,0,1,0
ts,9,9,0,0,0,0,0,0
wichtig,8,3,0,5,0,0,0,0
mein,8,3,0,3,0,1,1,0
innen,8,5,0,3,0,0,0,0
recht,8,6,0,2,0,0,0,0
und,8,4,0,0,2,0,2,0
weg,8,4,0,2,1,1,0,0
frau,8,1,0,3,2,0,2,0
eine,7,2,0,3,0,1,1,0
beschließen,7,3,0,2,1,0,1,0
land,7,4,0,2,0,0,1,0
unterstützen,7,4,1,0,0,0,1,1
bringen,7,2,0,1,1,3,0,0
aber,6,2,0,2,0,0,2,0
gemeinsam,6,3,0,0,1,0,2,0
so,6,0,0,2,1,2,1,0
mehr,6,2,0,3,0,1,0,0
idee,5,2,0,0,0,1,2,0
stehen,5,2,0,3,0,0,0,0
geben,5,2,0,1,1,1,0,0
antrag,5,2,0,1,0,1,1,0
europa,5,1,1,2,0,1,0,0
frage,5,3,0,2,0,0,0,0
senat,5,3,0,1,0,0,1,0
partei,5,1,0,3,1,0,0,0
r2,5,3,0,1,0,1,0,0
auf,5,0,0,5,0,0,0,0
brauchen,5,3,0,1,0,0,1,0
grün,5,3,0,1,0,0,1,0
mahe,5,4,0,1,0,0,0,0
toll,5,3,0,2,0,0,0,0
dank,5,2,0,3,0,0,0,0
vor,4,0,0,3,0,1,0,0
fdp,4,1,0,2,0,1,0,0
grund,4,0,0,0,0,4,0,0
fordern,4,2,0,1,0,0,1,0
was,4,1,0,3,0,0,0,0
problem,4,2,0,0,0,1,1,0
warum,4,1,1,1,0,1,0,0
großartig,4,0,0,3,0,1,0,0
auch,4,0,0,3,0,0,1,0
wie,4,2,0,0,0,0,2,0
im,4,2,0,0,0,2,0,0
ausschuss,4,2,0,1,0,1,0,0
wahlprogramm,4,3,0,0,0,1,0,0
gespräch,4,4,0,0,0,0,0,0
pflege,4,0,0,1,3,0,0,0
für,4,1,0,1,0,0,2,0
viel,4,2,0,1,0,1,0,0
gesetz,4,1,0,2,0,0,1,0
plenum,4,4,0,0,0,0,0,0
kind,4,1,0,0,1,1,0,1
sich,4,3,0,0,0,0,1,0
spd,4,0,0,3,0,0,1,0
cdu,4,1,0,2,0,0,1,0
maßnahme,4,1,0,2,0,0,1,0
lässt,4,1,0,1,1,0,1,0
lsbtiq,4,0,0,4,0,0,0,0
mietendeckel,4,2,0,2,0,0,0,0
bundesrat,4,2,0,2,0,0,0,0
thema,4,2,0,0,0,2,0,0
brandenburg,4,3,0,1,0,0,0,0
laut,4,2,0,0,0,2,0,0
ein,4,3,0,0,0,1,0,0
straße,4,3,0,1,0,0,0,0
nach,4,3,0,1,0,0,0,0
kultur,4,2,0,2,0,0,0,0
zielen,4,4,0,0,0,0,0,0
sicher,4,2,0,1,0,0,1,0
gute,4,0,0,1,0,1,2,0
aktuelleviertelstunde,4,4,0,0,0,0,0,0
dass,3,0,0,1,0,2,0,0
gewalt,3,2,0,0,0,1,0,0
sehr,3,1,0,0,1,1,0,0
bundesregierung,3,0,0,3,0,0,0,0
bundesweit,3,3,0,0,0,0,0,0
bvv,3,3,0,0,0,0,0,0
schule,3,0,0,2,0,0,1,0
fragen,3,2,0,1,0,0,0,0
bekommen,3,2,0,0,0,1,0,0
finden,3,2,0,0,0,1,0,0
damit,3,1,0,1,1,0,0,0
r2g,3,2,0,1,0,0,0,0
grüne,3,2,0,1,0,0,0,0
treffen,3,3,0,0,0,0,0,0
drucken,3,0,0,3,0,0,0,0
forderung,3,1,0,1,0,1,0,0
erreichen,3,0,0,2,0,0,1,0
entstehen,3,3,0,0,0,0,0,0
enteignung,3,0,0,1,0,1,1,0
