hashtag,total,CDUCSU,GRUENE,LINKE,AFD,SPD,FDP
ich,1780,293,361,490,83,337,216
afghanistan,1710,180,515,508,128,208,171
bundeswehr,800,193,77,269,55,98,108
trump,582,68,118,142,66,112,76
israel,581,126,71,59,60,141,124
global,574,97,146,182,8,90,51
china,530,101,110,72,50,89,108
mensch,472,33,146,165,9,75,44
deutschland,466,66,56,154,53,56,81
mein,457,117,67,118,24,81,50
international,455,67,96,98,14,116,64
jahr,412,60,72,146,27,69,38
bundesregierung,404,7,181,134,21,9,52
nato,373,64,33,197,3,44,32
taliban,367,31,65,145,40,53,33
und,344,36,80,98,23,60,47
usa,343,65,72,106,11,40,49
brauchen,324,60,78,86,12,48,40
ortskräfte,312,16,102,93,31,31,39
the,270,58,38,56,3,85,30
eu,267,49,52,53,18,45,50
land,266,35,51,78,15,56,31
einsatz,256,66,35,70,14,37,34
spd,254,35,79,88,13,26,13
bundestag,252,26,72,71,22,32,29
deutsch,241,36,35,72,23,24,51
soldat,238,78,22,44,21,28,45
in,218,24,45,57,12,43,37
stehen,216,67,26,56,9,34,24
zeigen,212,30,34,51,7,54,36
demokratie,204,28,47,48,11,41,29
innen,201,2,91,64,5,36,3
aber,194,17,41,60,11,35,30
wichtig,192,54,31,47,1,41,18
was,192,24,43,66,9,23,27
verantwortung,191,22,82,44,4,26,13
kabul,186,24,38,58,15,24,27
frage,176,28,47,41,12,29,19
heute,168,30,28,48,7,34,21
wenn,167,23,27,51,8,26,32
to,165,57,25,25,1,46,11
bleiben,164,39,25,42,13,35,10
fordern,162,18,29,68,8,14,25
mit,161,38,24,29,5,41,24
ein,158,20,38,39,5,32,24
wer,156,18,30,43,20,18,27
corona,153,31,25,54,12,14,17
regierung,152,9,29,57,21,20,16
zeit,149,15,41,37,9,19,28
gemeinsam,147,42,31,20,3,33,18
europa,146,39,42,24,6,21,14
auch,145,29,26,45,8,25,12
and,144,52,16,18,0,49,9
klaren,144,30,23,39,7,27,18
mal,144,12,22,58,10,22,20
of,143,31,16,26,1,51,18
lage,141,21,46,20,3,30,21
enden,141,14,30,50,7,32,8
us,139,37,12,54,4,25,7
so,139,20,33,29,14,27,16
kriegen,137,5,7,115,4,4,2
sprechen,135,22,23,32,5,35,18
20,133,21,16,64,14,10,8
danken,133,48,35,17,5,15,13
drohne,132,50,5,37,1,22,17
politik,131,10,30,46,6,21,18
stark,131,28,26,28,2,31,16
jetzt,131,18,34,41,3,18,17
letzt,131,20,34,35,6,23,13
biden,130,18,22,32,20,20,18
retten,130,11,36,53,3,11,16
cdu,129,5,46,52,9,9,8
welt,129,26,21,41,8,20,13
tagen,129,23,28,39,3,23,13
eine,129,13,22,39,10,29,16
sein,128,22,22,34,10,24,16
sicherheit,127,36,16,30,5,26,14
pandemie,127,24,34,39,0,20,10
russland,126,16,19,47,10,17,17
impfstoff,126,7,27,47,7,29,9
leben,125,25,21,36,3,24,16
militär,125,7,14,62,3,29,10
lassen,123,21,24,36,12,17,13
frau,123,17,34,27,9,25,11
für,122,13,26,46,4,20,13
evakuierung,121,11,24,44,1,20,21
unterstützen,119,29,25,32,4,23,6
sehen,119,11,31,29,8,21,19
wie,118,9,24,44,15,16,10
linke,118,5,5,82,5,10,11
versagen,117,4,57,28,8,6,14
geben,115,16,21,29,7,22,20
gelten,115,27,26,20,2,28,12
reden,113,10,38,30,6,21,8
stellen,112,22,17,36,9,13,15
finden,110,15,24,41,4,15,11
recht,110,8,13,45,9,25,10
handeln,109,16,31,24,5,11,22
weg,106,18,24,31,4,22,7
setzen,105,12,23,25,8,23,14
soldatinnen,104,38,9,4,0,14,39
klimaschutz,104,20,40,22,0,10,12
woche,104,12,32,23,4,20,13
friede,102,11,10,62,3,16,0
scholz,101,12,40,32,2,14,1
menschenrechte,100,12,26,16,2,33,11
merkel,100,9,25,22,32,3,9
schnellen,99,12,23,25,5,20,14
gut,99,20,18,30,3,16,12
abrüstung,97,8,5,72,0,12,0
desaster,96,0,52,34,4,3,3
helfen,96,13,29,21,3,20,10
einfach,93,14,23,20,4,14,18
im,92,15,14,29,4,18,12
afd,91,1,4,9,65,8,4
botschafter,90,32,11,14,0,20,13
is,89,13,10,26,4,27,9
hamas,88,32,7,10,8,14,17
bringen,88,6,21,26,6,19,10
unternehmen,87,5,17,34,3,20,8
sichern,87,12,17,22,8,15,13
neu,86,6,12,38,9,13,8
dank,86,26,18,7,1,17,17
hier,86,13,18,21,8,18,8
diese,85,10,15,32,5,18,5
thema,85,20,14,18,3,17,13
seite,85,24,6,11,1,18,25
debatte,84,11,29,23,3,9,9
familie,84,10,23,25,3,18,5
grüne,84,12,14,31,8,6,13
staat,83,11,17,30,4,13,8
politisch,83,11,30,22,5,7,8
hilfe,83,8,22,19,9,14,11
for,82,37,9,9,0,24,3
schaffen,82,10,10,31,5,13,13
all,82,11,15,32,3,13,8
