hashtag,total,LINKE,AFD,GRUENE,SPD,FDP,CDUCSU,OTHER
agh berlin,380,358,13,4,2,1,1,1
berlin ts,306,306,0,0,0,0,0,0
ich brauchen,279,90,34,98,14,29,14,0
herzliche glückwunsch,249,95,8,88,17,30,11,0
berlin plenum,195,195,0,0,0,0,0,0
agh recht,192,192,0,0,0,0,0,0
ich freuen,191,55,3,79,24,21,9,0
agh plenum,190,186,0,4,0,0,0,0
recht berlin,186,185,0,0,0,0,1,0
plenum ts,179,179,0,0,0,0,0,0
plenum berlin,172,171,0,1,0,0,0,0
ich leben,144,5,4,3,130,1,1,0
zum beispiel,139,65,13,27,7,25,2,0
ich mal,136,33,26,31,15,20,10,1
leben gleich,128,1,0,0,127,0,0,0
gleich horizont,128,0,0,0,128,0,0,0
himmeln gleich,127,0,0,0,127,0,0,0
gleich himmeln,127,0,0,0,127,0,0,0
viel dank,126,55,2,32,11,17,9,0
guten morgen,123,46,6,42,13,10,6,0
mein ines,122,122,0,0,0,0,0,0
ich finden,121,34,6,55,14,7,5,0
berliner innen,115,28,0,57,29,0,1,0
in berlin,114,35,14,34,11,8,12,0
schüler innen,112,86,0,23,3,0,0,0
ich hoffen,103,34,3,39,12,14,1,0
land berlin,94,39,6,31,5,9,4,0
ich glauben,91,30,10,23,8,13,7,0
plenum agh,89,85,0,2,1,1,0,0
mieter innen,84,41,0,41,2,0,0,0
ich denken,84,23,10,24,14,7,5,1
rot rot,82,12,9,16,2,14,29,0
ich mein,82,15,20,18,8,6,15,0
einfach mal,78,28,9,13,16,9,3,0
herzliche dank,77,9,47,10,7,2,2,0
letzt jahr,77,16,5,27,7,12,10,0
rot grün,72,12,14,13,4,12,17,0
ich zeit,70,15,6,19,25,3,1,1
viel erfolgen,68,25,3,16,5,16,3,0
ich sehen,67,18,7,24,6,6,6,0
ich ich,66,16,13,21,5,3,8,0
ich stehen,65,22,7,19,5,3,9,0
kolleg innen,65,46,0,16,2,1,0,0
berlin corona,64,52,4,6,0,0,2,0
ich wünsche,64,14,9,17,8,5,11,0
wenn ich,63,17,13,20,3,7,2,1
ich weiß,62,23,5,21,4,5,4,0
26 september,62,9,40,5,3,1,4,0
cdu fdp,61,28,9,16,4,4,0,0
corona ts,61,61,0,0,0,0,0,0
ich wissen,59,19,12,15,6,4,3,0
