hashtag,total,CDUCSU,GRUENE,LINKE,AFD,SPD,FDP
rente,637,54,28,287,34,75,159
ich,179,18,9,72,10,14,56
jahr,60,2,0,32,4,8,14
mensch,53,2,0,31,1,10,9
brauchen,48,2,4,17,2,3,20
gesetzliche,48,0,1,27,1,2,17
spd,45,3,0,19,0,9,14
aktienrente,45,0,0,1,0,0,44
löhne,43,1,2,29,1,9,1
arbeit,41,1,2,27,2,9,0
alt,37,0,4,15,2,10,6
hoch,35,0,2,23,1,2,7
mindestlohn,34,1,1,19,1,11,1
mein,34,3,0,15,5,2,9
sichern,34,5,1,15,2,5,6
einzahlen,34,2,2,29,0,0,1
gesetzlich,33,0,3,8,1,1,20
thema,32,6,0,9,1,9,7
altersarmut,32,5,0,18,3,4,2
bundestag,30,3,2,13,7,0,5
klimaschutz,29,1,0,16,0,11,1
doppelbesteuerung,29,5,0,4,6,1,13
und,28,1,0,16,1,3,7
wenn,28,2,0,14,0,3,9
euro,27,0,0,20,1,4,2
leben,27,1,2,13,0,7,4
deutschland,27,0,1,10,1,5,10
linke,26,4,0,17,0,0,5
fdp,25,1,0,16,0,1,7
für,25,0,1,18,1,3,2
fordern,25,2,0,17,1,1,4
was,25,1,1,11,1,4,7
gerecht,25,3,0,17,0,4,1
mit,24,2,0,12,1,4,5
btw21,24,0,1,21,0,1,1
eine,24,2,1,15,0,0,6
wer,22,0,0,17,0,1,4
vorschlag,22,6,0,6,1,0,9
sozial,22,2,0,13,0,6,1
cdu,22,0,0,13,0,7,2
frage,21,0,1,9,0,6,5
union,21,3,0,8,0,7,3
stabile,21,0,2,3,0,15,1
scholz,21,1,1,6,0,4,9
triell,21,3,1,5,0,4,8
in,20,2,0,12,0,3,3
mal,20,2,0,8,0,4,6
politik,20,3,0,5,2,0,10
gut,20,2,0,11,0,3,4
riester,20,0,3,12,2,1,2
rentner,20,0,0,8,5,2,5
so,19,1,0,10,1,0,7
bundesregierung,19,0,1,10,7,0,1
rentenniveau,19,0,4,9,1,3,2
stehen,19,0,0,8,2,6,3
bekommen,18,1,1,11,1,1,3
bleiben,18,2,0,9,0,3,4
problem,18,0,0,6,1,0,11
stabil,18,0,4,6,0,3,5
stark,17,1,0,4,0,8,4
zukunft,17,1,1,3,0,6,6
aktie,17,1,0,5,0,0,11
zahlen,17,1,1,7,1,2,5
corona,17,2,0,12,0,1,2
geld,17,8,0,5,0,2,2
