hashtag,total,CDUCSU,GRUENE,LINKE,AFD,SPD,FDP
ich,5050,735,918,1143,325,910,1019
debatte,1364,170,287,340,66,183,318
diskutieren,1180,201,309,236,37,161,236
entscheidung,1171,199,243,185,78,217,249
erklären,1070,102,202,257,102,196,211
mein,1036,139,221,238,92,140,206
verhindern,1029,95,197,253,73,230,181
meinung,901,133,96,96,114,178,284
diskussion,891,189,240,153,52,119,138
kritik,869,104,139,209,84,124,209
einig,849,111,142,208,82,191,115
lösung,840,131,165,149,41,161,193
bundestag,806,107,187,192,85,90,145
und,804,98,155,179,64,170,138
kritisieren,718,78,112,181,64,111,172
fehler,703,102,122,139,61,129,150
corona,663,79,81,150,76,87,190
versagen,662,51,165,171,108,58,109
aber,656,68,116,182,47,135,108
forderung,655,62,108,223,45,69,148
mensch,630,63,128,187,32,110,110
jahr,615,61,143,143,59,102,107
brauchen,606,75,152,125,14,100,140
argument,603,63,114,165,36,97,128
spd,601,77,172,125,36,123,68
ablehnen,580,31,140,165,80,60,104
mal,573,77,93,121,51,129,102
cdu,572,69,171,145,45,76,66
bundesregierung,498,10,156,141,48,15,128
frage,473,56,106,104,26,72,109
wenn,473,58,80,86,52,92,105
in,443,48,64,117,30,100,84
was,421,43,107,84,35,59,93
wichtig,417,73,79,84,14,88,79
sein,416,61,74,73,35,89,84
finden,408,41,94,117,16,67,73
land,406,63,81,73,38,77,74
politik,396,41,81,80,43,55,96
innen,384,0,153,128,1,91,11
stehen,381,62,62,87,28,73,69
wer,379,40,84,99,48,48,60
afd,370,19,20,58,212,27,34
wie,366,42,117,72,27,41,67
bleiben,360,47,64,82,26,63,78
danken,355,58,77,54,10,41,115
deutschland,353,40,43,87,48,45,90
gut,350,67,75,61,19,65,63
thema,348,70,68,85,17,46,62
sich,340,41,64,79,26,50,80
uhr,338,51,101,72,9,37,68
union,336,48,82,93,7,57,49
fdp,326,11,35,67,28,18,167
heute,319,39,98,74,13,47,48
klaren,317,51,57,57,19,67,66
eine,316,36,59,55,29,52,85
pandemie,315,48,44,67,7,51,98
grüne,311,41,52,47,23,58,90
regierung,309,12,46,72,62,22,95
ein,309,29,59,84,15,55,67
afghanistan,308,21,131,88,13,17,38
eu,307,44,54,71,32,45,61
zeigen,306,29,52,57,29,62,77
woche,303,37,70,44,10,84,58
mit,302,57,68,62,17,43,55
antrag,299,9,88,89,25,15,73
einfach,298,31,50,63,29,63,62
tb,297,0,0,0,0,0,297
klimaschutz,291,33,159,39,6,36,18
jetzt,290,37,76,54,24,47,52
partei,284,38,28,95,39,39,45
problem,280,22,59,88,23,37,51
stellen,280,27,53,57,38,46,59
so,280,33,68,58,35,48,38
impfstoff,273,23,32,80,13,70,55
zeit,273,28,58,58,23,48,58
sehen,273,37,51,53,17,61,54
da,271,31,49,58,20,70,43
grün,271,22,99,52,23,21,54
gemeinsam,267,66,60,53,7,42,39
fordern,266,18,52,81,35,17,63
genau,264,22,48,54,16,57,67
geben,262,40,52,54,16,48,52
politisch,259,39,59,57,28,24,52
freuen,258,39,80,51,7,36,45
demokratie,257,32,38,43,19,51,74
auch,256,46,39,64,12,49,46
lassen,254,33,46,53,20,51,51
impfen,250,47,36,29,16,42,80
für,245,33,44,55,15,50,48
csu,245,16,112,48,10,27,32
sprechen,238,37,41,50,13,38,59
lockdown,234,12,16,18,49,56,83
reden,233,37,54,48,20,31,43
kind,232,17,60,36,26,46,47
im,231,24,41,65,9,49,43
frau,230,22,49,46,33,51,29
laschet,229,18,84,53,16,37,21
merkel,229,16,29,41,60,20,63
weg,228,32,43,42,18,41,52
wirecard,226,60,39,85,4,18,20
gerne,223,46,32,27,24,47,47
zukunft,220,48,79,21,7,27,38
viel,218,44,47,35,10,43,39
falsch,217,32,24,58,20,42,41
hören,214,22,40,50,19,29,54
scholz,213,52,67,48,6,21,19
letzt,213,29,63,34,10,39,38
berlin,212,43,35,33,33,24,44
parlament,212,16,26,30,10,11,119
haben,212,29,36,49,19,35,44
vorschlag,209,25,70,25,4,24,61
bringen,206,18,47,49,9,38,45
linke,205,18,12,132,16,14,13
können,204,23,43,50,13,49,26
bei,203,35,38,50,10,29,41
nehmen,202,27,36,52,13,37,37
nicht,198,18,39,45,22,27,47
hier,195,22,57,36,15,34,31
recht,193,16,34,55,18,37,33
sagen,193,26,31,46,19,47,24
warum,192,6,48,48,28,25,37
diese,192,22,34,39,15,37,45
öffentlich,191,18,40,51,19,25,38
teilen,188,24,35,36,21,24,48
stark,187,32,30,34,4,53,34
enden,186,20,22,53,19,38,34
tagen,185,21,44,44,11,33,32
abend,181,29,48,46,3,20,35
meine,179,18,24,56,18,34,29
verantwortung,178,29,46,39,14,20,30
leben,177,16,23,41,20,29,48
stimmen,175,6,29,54,18,31,37
liegen,175,25,24,36,13,41,36
halten,174,20,34,27,18,32,43
schnellen,172,28,40,30,9,31,34
man,171,28,17,47,25,23,31
eigentlich,171,15,25,34,20,39,38
gestern,170,25,44,41,6,21,33
setzen,169,25,36,30,13,31,34
nur,169,19,30,32,21,33,34
deutlich,169,32,43,23,15,25,31
nächst,167,16,38,36,6,42,29
gesetz,167,21,26,37,11,30,42
monat,166,21,34,25,11,26,49
sichern,164,24,32,33,13,34,28
aktuell,161,22,36,44,8,19,32
ander,161,18,29,27,9,39,39
helfen,159,28,35,31,8,35,22
sozial,159,9,36,78,4,18,14
hoch,158,17,30,33,11,42,25
schaffen,158,17,36,25,9,30,41
all,155,18,34,44,11,16,32
politische,154,24,33,27,16,22,32
zum,153,27,32,26,12,30,26
maßnahme,152,12,18,33,14,19,56
impfung,152,18,13,10,13,71,27
ja,152,18,26,40,13,15,40
handeln,151,19,46,26,6,29,25
verstehen,150,16,28,34,9,33,30
wahlkampf,150,17,33,30,10,26,34
versuchen,150,16,28,49,12,16,29
gelten,149,30,23,27,9,29,31
krise,148,6,36,47,0,24,35
herr,147,14,34,23,27,27,22
wissen,147,17,25,41,12,23,29
am,147,17,36,51,10,17,16
19,146,12,55,42,3,8,26
entscheiden,146,24,25,31,4,23,39
schützen,144,19,23,41,10,23,28
fahren,143,22,21,27,9,30,34
beispiel,142,18,28,27,8,34,27
kein,141,17,19,38,14,20,33
unterstützen,141,17,31,45,3,29,16
tun,140,9,34,39,8,20,30
fraktion,140,17,26,26,21,28,22
groko,139,5,39,38,2,16,39
gleich,137,18,29,34,12,27,17
btw21,137,15,47,40,12,6,17
wählen,136,14,20,36,19,33,14
