hashtag,total,CDUCSU,GRUENE,LINKE,AFD,SPD,FDP
menschenrechte,658,55,171,160,36,162,74
ich,251,22,55,65,12,63,34
mensch,104,8,25,47,2,19,3
eu,92,5,19,43,0,12,13
asyl,76,2,5,28,20,16,5
demokratie,72,10,14,11,1,24,12
lieferkettengesetz,63,5,11,16,3,28,0
mein,56,5,8,15,6,15,7
jahr,54,4,14,14,2,9,11
china,52,8,17,2,1,14,10
europa,48,1,9,15,0,20,3
wichtig,48,9,15,2,1,14,7
recht,47,0,7,20,1,15,4
innen,43,0,23,12,0,7,1
heute,43,5,10,8,0,13,7
und,41,0,12,10,4,13,2
brauchen,38,4,14,9,1,5,5
stehen,38,2,4,8,5,15,4
einsatz,37,5,10,9,0,9,4
deutschland,36,4,4,8,5,12,3
freiheit,35,5,6,5,6,8,5
zeigen,34,2,11,6,2,9,4
politisch,34,0,11,11,1,6,5
gelten,33,1,9,6,1,13,3
frau,32,2,14,8,1,5,2
bundestag,32,2,8,8,3,9,2
weltweit,32,3,7,2,1,13,6
europäisch,32,3,11,7,0,10,1
land,31,3,7,5,3,9,4
für,31,0,12,11,1,4,3
klaren,31,4,6,7,1,9,4
lesbos,30,0,5,23,1,1,0
uiguren,30,7,11,4,0,5,3
russland,30,4,7,2,0,11,6
danken,29,5,9,5,0,9,1
xinjiang,29,4,13,1,0,3,8
bleiben,29,2,7,11,1,5,3
regierung,28,3,4,10,3,6,2
bundesregierung,28,1,10,8,1,4,4
solidarität,28,0,7,13,0,7,1
tagen,26,2,9,3,2,8,2
fordern,26,2,6,9,1,6,2
wenn,26,1,4,10,2,5,4
türkei,26,0,8,11,0,3,4
ein,25,2,8,8,0,6,1
setzen,25,1,5,6,2,7,4
schutz,25,2,6,5,1,8,3
sprechen,24,0,2,9,0,10,3
in,24,1,4,9,2,4,4
afghanistan,24,3,4,10,2,4,1
gemeinsam,24,3,4,3,0,12,2
einsetzen,23,2,4,5,0,3,9
wer,23,0,7,9,3,3,1
usa,22,1,4,2,1,11,3
klimaschutz,22,2,13,4,0,2,1
unternehmen,21,1,4,9,2,5,0
fuß,21,2,6,6,2,2,3
sich,21,3,5,2,1,7,3
nawalny,21,4,6,1,0,3,7
kämpfen,21,2,8,5,1,3,2
soziale,21,0,11,8,0,2,0
europäische,21,0,11,0,0,7,3
rechtsstaatlichkeit,21,2,7,0,0,9,3
deutsch,20,2,6,5,4,3,0
handeln,20,4,5,2,0,5,4
belarus,20,3,3,1,0,7,6
unteilbar,20,0,1,15,0,4,0
was,20,0,8,2,2,6,2
corona,19,1,2,5,9,1,1
so,19,0,6,6,0,6,1
