hashtag,total,CDUCSU,GRUENE,LINKE,AFD,SPD,FDP
landwirt,53,23,3,4,13,5,5
ich,40,11,3,5,15,3,3
landwirtschaft,22,6,3,2,8,3,0
pestizid,20,0,10,9,0,1,0
mein,11,5,3,1,2,0,0
eu,11,0,5,5,1,0,0
bundestag,10,3,2,3,2,0,0
deutsch,9,0,0,1,7,0,1
überleben,8,0,0,0,7,1,0
verbieten,8,0,3,4,0,1,0
afd,8,0,0,0,8,0,0
landschafftverbindung,7,0,0,0,7,0,0
stärken,7,0,0,0,7,0,0
fraktion,7,0,0,0,7,0,0
lebensmittel,7,0,0,0,7,0,0
ums,7,0,0,0,7,0,0
schaffen,7,0,0,0,7,0,0
versorgen,7,0,0,0,7,0,0
insektenschutzgesetz,7,4,0,0,2,1,0
unverzichtbar,7,0,0,0,7,0,0
arbeitsplätze,7,0,0,0,7,0,0
kämpfen,7,0,0,0,7,0,0
demolandwirte,6,0,0,0,6,0,0
exportieren,5,0,2,3,0,0,0
sehen,5,1,1,0,1,2,0
danken,5,2,0,2,1,0,0
gemeinsam,5,2,2,0,0,1,0
umwelt,5,0,3,2,0,0,0
stehen,4,4,0,0,0,0,0
antrag,4,0,3,1,0,0,0
export,4,0,1,3,0,0,0
innen,4,0,3,0,0,1,0
weg,4,0,1,0,1,1,1
bayer,4,0,0,3,0,0,1
sprechen,4,4,0,0,0,0,0
viel,4,0,1,2,0,1,0
verboten,4,0,0,4,0,0,0
schützen,4,0,3,0,0,1,0
stoppen,4,0,1,3,0,0,0
in,3,1,0,1,0,0,1
bauer,3,0,1,0,1,0,1
deutschland,3,1,0,1,1,0,0
problem,3,1,1,1,0,0,0
natur,3,0,3,0,0,0,0
heute,3,2,1,0,0,0,0
biene,3,0,2,1,0,0,0
brauchen,3,1,1,1,0,0,0
ein,3,0,0,2,0,1,0
insekt,3,0,0,0,0,3,0
000,3,0,1,2,0,0,0
glyphosat,3,0,3,0,0,0,0
stellen,3,0,0,1,0,1,1
mensch,3,0,0,3,0,0,0
wichtig,3,1,1,0,0,1,0
gestern,3,2,0,1,0,0,0
argument,3,0,3,0,0,0,0
177,3,0,1,2,0,0,0
giftexportestoppen,3,0,1,2,0,0,0
hören,2,0,1,0,0,0,1
cdu,2,1,0,0,0,0,1
und,2,0,0,0,2,0,0
finden,2,0,2,0,0,0,0
giftexporte,2,0,0,2,0,0,0
gesundheit,2,0,1,1,0,0,0
csu,2,2,0,0,0,0,0
dafür,2,1,1,0,0,0,0
parlament,2,1,0,0,1,0,0
fürsieda,2,2,0,0,0,0,0
schnee,2,0,0,0,2,0,0
freuen,2,2,0,0,0,0,0
global,2,0,0,2,0,0,0
bundesregierung,2,1,1,0,0,0,0
union,2,0,1,0,0,1,0
gespräch,2,0,1,0,1,0,0
btw21,2,1,0,1,0,0,0
gefahr,2,0,1,0,0,1,0
schön,2,1,0,0,0,0,1
gesellschaft,2,2,0,0,0,0,0
ohne,2,1,0,0,0,1,0
brandenburg,2,0,0,0,1,1,0
dank,2,0,0,1,1,0,0
studie,2,0,1,1,0,0,0
debattieren,2,0,2,0,0,0,0
erhalten,2,1,0,0,1,0,0
süden,2,0,0,2,0,0,0
einsetzen,2,0,2,0,0,0,0
einsatz,2,0,0,1,0,1,0
stoff,2,0,1,1,0,0,0
havelland,2,2,0,0,0,0,0
eindämmen,2,1,0,0,0,1,0
region,2,0,0,1,0,0,1
thema,2,2,0,0,0,0,0
dürre,2,0,0,0,0,0,2
dr,2,2,0,0,0,0,0
raum,2,1,0,0,0,0,1
tk,2,0,2,0,0,0,0
diskussion,2,2,0,0,0,0,0
gründen,2,0,0,1,0,0,1
präsident,2,2,0,0,0,0,0
diese,2,0,0,2,0,0,0
stimme,2,0,1,0,0,0,1
steineke,2,2,0,0,0,0,0
transformation,2,0,1,0,0,1,0
staatssekretär,2,2,0,0,0,0,0
exportverbot,2,0,2,0,0,0,0
savethebees,2,0,2,0,0,0,0
derzeit,2,0,0,0,1,0,1
hochgiftige,2,0,2,0,0,0,0
hochgiftiger,2,0,2,0,0,0,0
infrastruktur,2,0,0,0,1,0,1
bundesministerin,2,1,0,1,0,0,0
unterschrift,2,0,0,2,0,0,0
klaren,2,1,0,0,0,1,0
via,2,1,0,1,0,0,0
klima,2,0,1,0,0,1,0
basf,2,0,0,2,0,0,0
vorlegen,2,0,2,0,0,0,0
wagner,2,2,0,0,0,0,0
kritisch,2,1,0,0,0,1,0
bis,2,0,2,0,0,0,0
weiterhin,2,1,0,1,0,0,0
aufgrund,2,0,2,0,0,0,0
auf,2,0,0,1,0,0,1
weltbienentag,2,0,2,0,0,0,0
kuh,2,2,0,0,0,0,0
wernikow,2,2,0,0,0,0,0
künftig,2,0,0,0,0,2,0
woche,2,1,0,1,0,0,0
landwirtinnen,2,2,0,0,0,0,0
als,2,0,0,0,1,1,0
mit,2,1,1,0,0,0,0
all,2,1,0,0,0,1,0
aktuell,2,2,0,0,0,0,0
leben,2,1,0,0,1,0,0
legen,2,0,1,0,0,0,1
lichtverschmutzung,2,1,0,0,0,1,0
zulassung,2,0,1,1,0,0,0
livedabei,2,2,0,0,0,0,0
änderung,2,1,0,0,0,1,0
ländlich,2,1,0,0,0,0,1
über,2,1,0,1,0,0,0
mehr,2,1,0,0,1,0,0
klaus,2,2,0,0,0,0,0
ausgleich,2,2,0,0,0,0,0
schwer,2,0,1,1,0,0,0
insektenschutz,2,2,0,0,0,0,0
nächst,2,0,0,2,0,0,0
jahr,2,1,1,0,0,0,0
jed,2,1,0,0,0,0,1
veranstaltung,2,1,0,1,0,0,0
kein,2,1,0,1,0,0,0
berlin,2,1,0,0,1,0,0
unterstützen,2,0,0,0,1,1,0
mittelmeer,1,0,0,0,1,0,0
moor,1,0,1,0,0,0,0
miss,1,1,0,0,0,0,0
nutztiere,1,0,1,0,0,0,0
savebeesandfarmers,1,0,1,0,0,0,0
nutzen,1,1,0,0,0,0,0
satz,1,0,0,0,0,1,0
monokultur,1,0,1,0,0,0,0
norden,1,0,0,0,0,0,1
mittag,1,1,0,0,0,0,0
per,1,0,0,0,1,0,0
sascharaabe,1,0,1,0,0,0,0
personenbeförderungsrecht,1,1,0,0,0,0,0
schaf,1,0,0,0,1,0,0
mitglied,1,0,0,0,0,1,0
rücken,1,1,0,0,0,0,0
mitten,1,1,0,0,0,0,0
ministerin,1,0,0,1,0,0,0
merken,1,0,0,0,0,1,0
milliarde,1,1,0,0,0,0,0
menge,1,0,0,1,0,0,0
schweinepest,1,0,0,1,0,0,0
maßnahme,1,0,0,0,0,1,0
obwohl,1,0,1,0,0,0,0
schwein,1,1,0,0,0,0,0
meist,1,0,0,0,1,0,0
schutzmaßnahmen,1,1,0,0,0,0,0
melken,1,1,0,0,0,0,0
osten,1,0,0,0,0,0,1
paket,1,1,0,0,0,0,0
röttgen,1,1,0,0,0,0,0
schutzgebieten,1,0,0,0,0,1,0
oberstdorf,1,0,0,0,1,0,0
menschenleben,1,0,0,1,0,0,0
mercosur,1,0,0,1,0,0,0
schlepper,1,1,0,0,0,0,0
schlachter,1,1,0,0,0,0,0
schindler,1,0,0,0,0,1,0
schweinfurt,1,1,0,0,0,0,0
norbert,1,0,0,0,0,1,0
neu,1,0,1,0,0,0,0
plädoyer,1,1,0,0,0,0,0
profitwillen,1,0,0,1,0,0,0
raus,1,1,0,0,0,0,0
nachtaktive,1,0,0,0,0,1,0
nachweisen,1,0,0,1,0,0,0
nahe,1,0,1,0,0,0,0
rahmen,1,1,0,0,0,0,0
name,1,0,0,0,0,1,0
planen,1,0,1,0,0,0,0
naturschutz,1,0,1,0,0,0,0
protestieren,1,1,0,0,0,0,0
naturschutzgesetz,1,1,0,0,0,0,0
morgig,1,1,0,0,0,0,0
profitieren,1,0,0,1,0,0,0
negative,1,0,1,0,0,0,0
nehmen,1,0,0,1,0,0,0
nennen,1,0,0,0,1,0,0
pretzier,1,0,0,1,0,0,0
politiker,1,0,0,0,0,0,1
neudörfel,1,1,0,0,0,0,0
planungssicherheit,1,0,1,0,0,0,0
plenum,1,1,0,0,0,0,0
reden,1,0,0,1,0,0,0
nachmittag,1,1,0,0,0,0,0
neuruppin,1,1,0,0,0,0,0
reduzieren,1,0,1,0,0,0,0
ruhetag,1,1,0,0,0,0,0
niedersächsischenweg,1,0,0,0,0,1,0
niederschlag,1,0,0,0,0,0,1
rubihorn,1,0,0,0,1,0,0
roettgang,1,1,0,0,0,0,0
risiko,1,0,0,1,0,0,0
richtig,1,0,0,0,1,0,0
nie,1,0,0,1,0,0,0
rettetdiebienen,1,0,0,1,0,0,0
petition,1,0,0,1,0,0,0
relevanz,1,0,1,0,0,0,0
reihen,1,0,0,0,0,1,0
reichen,1,0,1,0,0,0,0
registrieren,1,1,0,0,0,0,0
nichts,1,1,0,0,0,0,0
pflanzenschutzmittel,1,0,0,0,0,1,0
mpk,1,1,0,0,0,0,0
nachgehen,1,1,0,0,0,0,0
regenerative,1,1,0,0,0,0,0
räumen,1,0,0,0,1,0,0
strategie,1,0,1,0,0,0,0
schweiz,1,0,0,1,0,0,0
unterstützer,1,0,1,0,0,0,0
verwerflich,1,0,0,1,0,0,0
verzichten,1,0,0,0,0,0,1
videokonferenz,1,1,0,0,0,0,0
virus,1,1,0,0,0,0,0
vogtland,1,1,0,0,0,0,0
vogtländischen,1,1,0,0,0,0,0
volksbegehrens,1,0,0,1,0,0,0
von,1,0,0,0,0,0,1
vor,1,0,1,0,0,0,0
vorliegend,1,1,0,0,0,0,0
vormachen,1,0,0,1,0,0,0
vorschrift,1,0,0,0,1,0,0
vs,1,1,0,0,0,0,0
völkerrecht,1,1,0,0,0,0,0
wahlkampf,1,1,0,0,0,0,0
verstehen,1,0,1,0,0,0,0
versprechen,1,0,1,0,0,0,0
versorgung,1,1,0,0,0,0,0
vergessen,1,0,0,0,0,1,0
unterstützung,1,1,0,0,0,0,0
verantwortliche,1,0,0,0,0,0,1
verantwortung,1,0,0,0,0,0,1
verbessern,1,0,0,0,0,0,1
verbot,1,0,0,1,0,0,0
verein,1,0,0,0,1,0,0
verlieren,1,0,0,1,0,0,0
verschaffen,1,1,0,0,0,0,0
verlängerung,1,1,0,0,0,0,0
verlässliche,1,1,0,0,0,0,0
vermarkten,1,0,0,1,0,0,0
vermissen,1,0,0,0,0,0,1
vermutlich,1,0,0,0,0,0,1
verrecken,1,0,0,0,1,0,0
wahlkreis,1,0,0,0,1,0,0
wartburgkreis,1,1,0,0,0,0,0
wenn,1,0,1,0,0,0,0
zustimmen,1,0,1,0,0,0,0
zdf,1,0,0,0,1,0,0
zeigen,1,0,0,1,0,0,0
zielen,1,0,1,0,0,0,0
zollkontrolle,1,0,0,1,0,0,0
zukunft,1,0,0,0,0,1,0
zulassen,1,0,1,0,0,0,0
ändern,1,1,0,0,0,0,0
zahl,1,1,0,0,0,0,0
öffentlich,1,0,0,0,1,0,0
ökolandbau,1,0,1,0,0,0,0
ökotest,1,0,1,0,0,0,0
überfällig,1,0,0,1,0,0,0
übergeben,1,0,0,1,0,0,0
übernehmen,1,0,0,0,0,0,1
