hashtag,total,LINKE,AFD,GRUENE,SPD,FDP,CDUCSU,OTHER
geldwäsche,18,13,1,3,0.0,0.0,1,0.0
wirecard,7,1,2,3,0.0,0.0,1,0.0
cumex,7,0,2,3,0.0,0.0,2,0.0
berlin,7,7,0,0,0.0,0.0,0,0.0
ts,7,7,0,0,0.0,0.0,0,0.0
agh,6,6,0,0,0.0,0.0,0,0.0
kriminalität,5,2,1,2,0.0,0.0,0,0.0
scholz,5,0,1,3,0.0,0.0,1,0.0
kampf,4,4,0,0,0.0,0.0,0,0.0
triell,4,0,0,4,0.0,0.0,0,0.0
immobilienregister,4,3,0,1,0.0,0.0,0,0.0
organisieren,3,2,1,0,0.0,0.0,0,0.0
mal,3,0,0,3,0.0,0.0,0,0.0
bundesrat,3,1,0,2,0.0,0.0,0,0.0
fragestunde,3,3,0,0,0.0,0.0,0,0.0
wie,3,1,1,1,0.0,0.0,0,0.0
plenum,3,3,0,0,0.0,0.0,0,0.0
cdu,2,0,0,2,0.0,0.0,0,0.0
ich,2,1,0,1,0.0,0.0,0,0.0
illegal,2,2,0,0,0.0,0.0,0,0.0
idee,2,1,1,0,0.0,0.0,0,0.0
recht,2,2,0,0,0.0,0.0,0,0.0
stehen,2,1,0,1,0.0,0.0,0,0.0
ein,2,0,0,2,0.0,0.0,0,0.0
vermögensabschöpfung,2,2,0,0,0.0,0.0,0,0.0
spd,2,1,1,0,0.0,0.0,0,0.0
grün,2,1,0,1,0.0,0.0,0,0.0
erworben,2,2,0,0,0.0,0.0,0,0.0
senat,2,2,0,0,0.0,0.0,0,0.0
rot,2,0,0,2,0.0,0.0,0,0.0
fiu,2,1,1,0,0.0,0.0,0,0.0
frage,2,1,0,1,0.0,0.0,0,0.0
fragen,2,1,1,0,0.0,0.0,0,0.0
vermögen,2,2,0,0,0.0,0.0,0,0.0
sich,2,2,0,0,0.0,0.0,0,0.0
bverfg,2,2,0,0,0.0,0.0,0,0.0
berichten,2,2,0,0,0.0,0.0,0,0.0
wenn,2,1,1,0,0.0,0.0,0,0.0
bisschen,2,1,0,1,0.0,0.0,0,0.0
milliarde,2,1,1,0,0.0,0.0,0,0.0
bedeutung,2,2,0,0,0.0,0.0,0,0.0
beispiel,2,2,0,0,0.0,0.0,0,0.0
bekämpfen,2,1,0,1,0.0,0.0,0,0.0
bekämpfung,2,0,0,2,0.0,0.0,0,0.0
30,2,2,0,0,0.0,0.0,0,0.0
aber,2,0,1,1,0.0,0.0,0,0.0
wichtig,2,2,0,0,0.0,0.0,0,0.0
medium,1,0,1,0,0.0,0.0,0,0.0
rekordsteuern,1,0,1,0,0.0,0.0,0,0.0
lüge,1,0,0,0,0.0,0.0,1,0.0
mieter,1,1,0,0,0.0,0.0,0,0.0
schelm,1,0,0,1,0.0,0.0,0,0.0
rechtskräftig,1,1,0,0,0.0,0.0,0,0.0
reden,1,0,1,0,0.0,0.0,0,0.0
schalten,1,1,0,0,0.0,0.0,0,0.0
mietenwahnsinn,1,1,0,0,0.0,0.0,0,0.0
melden,1,1,0,0,0.0,0.0,0,0.0
make,1,1,0,0,0.0,0.0,0,0.0
rückenwind,1,1,0,0,0.0,0.0,0,0.0
mein,1,1,0,0,0.0,0.0,0,0.0
reformgesetzes,1,1,0,0,0.0,0.0,0,0.0
roterfilz,1,0,0,1,0.0,0.0,0,0.0
razzia,1,0,0,1,0.0,0.0,0,0.0
sagen,1,0,1,0,0.0,0.0,0,0.0
mann,1,0,0,1,0.0,0.0,0,0.0
nämlich,1,1,0,0,0.0,0.0,0,0.0
rassismus,1,0,0,1,0.0,0.0,0,0.0
r2g,1,1,0,0,0.0,0.0,0,0.0
oder,1,1,0,0,0.0,0.0,0,0.0
oh,1,0,0,1,0.0,0.0,0,0.0
olaf,1,0,0,1,0.0,0.0,0,0.0
notar,1,1,0,0,0.0,0.0,0,0.0
nachschauen,1,0,0,0,0.0,0.0,1,0.0
organisiert,1,0,0,1,0.0,0.0,0,0.0
organisierter,1,0,0,1,0.0,0.0,0,0.0
schicken,1,0,0,1,0.0,0.0,0,0.0
orientiert,1,1,0,0,0.0,0.0,0,0.0
mitteln,1,0,0,1,0.0,0.0,0,0.0
partielle,1,0,1,0,0.0,0.0,0,0.0
mitte,1,0,0,1,0.0,0.0,0,0.0
perfektionieren,1,0,1,0,0.0,0.0,0,0.0
pflegekrise,1,0,0,1,0.0,0.0,0,0.0
mindestens,1,0,0,1,0.0,0.0,0,0.0
plakat,1,0,0,1,0.0,0.0,0,0.0
politisch,1,0,0,1,0.0,0.0,0,0.0
politische,1,0,1,0,0.0,0.0,0,0.0
progressiv,1,0,0,1,0.0,0.0,0,0.0
mieterhöhungen,1,1,0,0,0.0,0.0,0,0.0
000,1,0,1,0,0.0,0.0,0,0.0
scholzschweigt,1,0,0,0,0.0,0.0,1,0.0
warum,1,0,0,1,0.0,0.0,0,0.0
und,1,0,1,0,0.0,0.0,0,0.0
vereinbar,1,1,0,0,0.0,0.0,0,0.0
verfasst,1,0,1,0,0.0,0.0,0,0.0
vergessen,1,0,0,1,0.0,0.0,0,0.0
verjähren,1,1,0,0,0.0,0.0,0,0.0
vertreter,1,0,0,1,0.0,0.0,0,0.0
veränderung,1,0,0,1,0.0,0.0,0,0.0
volk,1,0,1,0,0.0,0.0,0,0.0
vorlesung,1,1,0,0,0.0,0.0,0,0.0
vs,1,1,0,0,0.0,0.0,0,0.0
warburg,1,0,1,0,0.0,0.0,0,0.0
was,1,1,0,0,0.0,0.0,0,0.0
schwarz,1,0,0,1,0.0,0.0,0,0.0
weiß,1,0,1,0,0.0,0.0,0,0.0
wirksam,1,0,0,1,0.0,0.0,0,0.0
wohnraum,1,1,0,0,0.0,0.0,0,0.0
wonach,1,1,0,0,0.0,0.0,0,0.0
woran,1,1,0,0,0.0,0.0,0,0.0
wort,1,0,0,1,0.0,0.0,0,0.0
wählen,1,0,0,1,0.0,0.0,0,0.0
zukunft,1,1,0,0,0.0,0.0,0,0.0
zukünftig,1,1,0,0,0.0,0.0,0,0.0
zum,1,1,0,0,0.0,0.0,0,0.0
zustimmung,1,1,0,0,0.0,0.0,0,0.0
umgehen,1,1,0,0,0.0,0.0,0,0.0
uhr,1,1,0,0,0.0,0.0,0,0.0
tun,1,1,0,0,0.0,0.0,0,0.0
trage,1,1,0,0,0.0,0.0,0,0.0
schwarzarbeit,1,1,0,0,0.0,0.0,0,0.0
schwarzekoffer,1,1,0,0,0.0,0.0,0,0.0
schwarzerfilz,1,0,0,1,0.0,0.0,0,0.0
schön,1,0,1,0,0.0,0.0,0,0.0
schützen,1,1,0,0,0.0,0.0,0,0.0
sehen,1,0,1,0,0.0,0.0,0,0.0
linke,1,0,0,1,0.0,0.0,0,0.0
situation,1,0,1,0,0.0,0.0,0,0.0
soziales,1,1,0,0,0.0,0.0,0,0.0
spekulation,1,1,0,0,0.0,0.0,0,0.0
spekulativ,1,1,0,0,0.0,0.0,0,0.0
spende,1,0,1,0,0.0,0.0,0,0.0
stadt,1,1,0,0,0.0,0.0,0,0.0
starten,1,0,0,1,0.0,0.0,0,0.0
steuerbetrug,1,0,0,1,0.0,0.0,0,0.0
steuerflucht,1,0,0,1,0.0,0.0,0,0.0
steuerhinterziehung,1,0,0,1,0.0,0.0,0,0.0
stillstand,1,0,0,1,0.0,0.0,0,0.0
strache,1,0,1,0,0.0,0.0,0,0.0
strafrechtl,1,1,0,0,0.0,0.0,0,0.0
strategie,1,0,1,0,0.0,0.0,0,0.0
stürzen,1,0,1,0,0.0,0.0,0,0.0
thema,1,0,1,0,0.0,0.0,0,0.0
links,1,0,0,1,0.0,0.0,0,0.0
klimakrise,1,0,0,1,0.0,0.0,0,0.0
liegen,1,1,0,0,0.0,0.0,0,0.0
bundesfinanzministeriums,1,1,0,0,0.0,0.0,0,0.0
bundesregierung,1,0,1,0,0.0,0.0,0,0.0
bundestag,1,1,0,0,0.0,0.0,0,0.0
böses,1,0,0,1,0.0,0.0,0,0.0
co,1,0,0,1,0.0,0.0,0,0.0
cum,1,0,1,0,0.0,0.0,0,0.0
da,1,0,0,0,0.0,0.0,1,0.0
